"","county","agegp","edugp","ideal","intend","npop"
"17018",511521,"35-49","secondary",1.95895014953059,1.85302902808061,30796.4925214375
"17019",511521,"35-49","hs and above",1.90853640217685,1.61472751965108,10635.8246684176
"17020",511522,"15-24","primary and below",1.95477674225089,1.86233012079993,13019.7642090359
"17021",511522,"15-24","secondary",1.86807159742437,1.69503300295192,7936.58316702979
"17022",511522,"15-24","hs and above",1.7829091850193,1.51703511049801,3047.65262393428
"17023",511522,"25-34","primary and below",2.01244302674653,1.99280069610132,9683.46319046486
"17024",511522,"25-34","secondary",1.9352157686932,1.83637182809327,5902.84199637489
"17025",511522,"25-34","hs and above",1.88841136601897,1.63410795531183,2266.69481316026
"17026",511522,"35-49","primary and below",2.05872632721182,1.85520636297843,22776.9937689571
"17027",511522,"35-49","secondary",1.97227350066287,1.64048870659391,13884.3916402717
"17028",511522,"35-49","hs and above",1.91981267060199,1.4334502792442,5331.61459077122
"17029",511523,"15-24","primary and below",2.01891735120625,1.97133148022423,16394.270889328
"17030",511523,"15-24","secondary",1.86330656615102,1.73159756844169,10135.5786796531
"17031",511523,"15-24","hs and above",1.88322064778411,1.58443059953128,2812.15043101892
"17032",511523,"25-34","primary and below",2.14543686358571,2.12791882316174,9838.68570956908
"17033",511523,"25-34","secondary",2.03735410111727,1.89319450895171,6082.65983811641
"17034",511523,"25-34","hs and above",1.94293542805613,1.76128821641629,1687.6544523145
"17035",511523,"35-49","primary and below",2.15450447992341,2.00644936251303,27380.5890849811
"17036",511523,"35-49","secondary",2.04604304817491,1.72132367721912,16927.7497510872
"17037",511523,"35-49","hs and above",1.99981779529256,1.53840966723101,4696.66116393164
"17038",511524,"15-24","primary and below",1.91841008043513,2.03245639621728,12883.6934925622
"17039",511524,"15-24","secondary",1.81166704334487,1.82590115701092,6386.21494673278
"17040",511524,"15-24","hs and above",1.77212976936727,1.64168285067332,2161.09156070499
"17041",511524,"25-34","primary and below",2.00716874197638,2.2162058997328,9138.99997545289
"17042",511524,"25-34","secondary",1.9697344519877,1.89831514083131,4530.03777799597
"17043",511524,"25-34","hs and above",1.89956940765468,1.75916387631205,1532.96224655113
"17044",511524,"35-49","primary and below",2.0973692167632,2.03269506243222,26506.8271883745
"17045",511524,"35-49","secondary",1.97143034703635,1.76426413529169,13138.9570916589
"17046",511524,"35-49","hs and above",1.90087265493321,1.634180602888,4446.21571996662
